numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07460;20160119150000;101290;-90;5;360;0.800000;281.950000;276.550000;69;54350;0;mq;mq;100;8;800;mq;mq;mq;97400;mq;mq;230;mq;mq;mq;mq;274.050000;mq;mq;1.300000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;870;7;mq;1110;8;mq;1290;mq;mq;mq;
07471;20160119150000;mq;-50;5;220;1.600000;278.050000;273.950000;75;20000;0;mq;mq;100;8;800;mq;mq;mq;91640;mq;757;260;mq;mq;mq;mq;272.850000;mq;mq;3.200000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;8;mq;720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20160119150000;101540;-40;5;170;3.300000;278.550000;275.150000;79;40000;1;2;2;90;7;450;38;mq;mq;98610;mq;mq;110;mq;mq;mq;mq;mq;mq;mq;5.700000;5.700000;-10;1;0.000000;0.000000;-30;-0.100000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;2;8;480;2;6;900;7;6;1800;mq;mq;mq;
07510;20160119150000;101420;-30;5;260;6.500000;284.150000;281.850000;86;41160;0;6;5;90;7;250;35;mq;mq;100840;mq;mq;370;mq;mq;mq;mq;275.950000;mq;mq;9.400000;11.400000;-10;2;0.000000;mq;mq;0.200000;0.400000;2.200000;3.600000;8.800000;mq;mq;mq;mq;2;7;200;6;6;900;mq;mq;mq;mq;mq;mq;
07535;20160119150000;101400;-50;5;250;1.400000;282.350000;281.750000;96;13160;61;mq;mq;100;8;250;mq;mq;mq;98270;mq;mq;290;mq;mq;mq;mq;278.550000;mq;mq;3.500000;4.900000;-10;2;0.000000;mq;mq;0.400000;0.800000;1.600000;1.600000;2.000000;mq;mq;mq;mq;6;mq;270;8;mq;390;mq;mq;mq;mq;mq;mq;
07558;20160119150000;101550;-80;6;350;0.600000;275.350000;274.450000;94;320;60;mq;mq;mq;mq;mq;mq;mq;mq;93050;mq;mq;220;mq;mq;mq;mq;273.250000;mq;mq;0.900000;1.300000;-10;mq;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.600000;5.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20160119150000;101610;-100;6;240;1.700000;281.150000;275.550000;68;30000;1;2;2;90;3;450;38;23;mq;100700;mq;mq;60;mq;mq;mq;mq;275.650000;mq;mq;2.900000;3.500000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;3.600000;mq;mq;mq;mq;2;8;500;2;6;1200;5;3;3000;mq;mq;mq;
07591;20160119150000;mq;-30;5;210;2.800000;276.950000;269.850000;60;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;91220;mq;1444;10;mq;mq;mq;mq;mq;mq;mq;4.600000;5.000000;-10;mq;0.050000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20160119150000;101590;-20;5;240;3.700000;283.750000;281.550000;86;60000;0;mq;mq;75;5;250;mq;mq;mq;100870;mq;mq;360;mq;mq;mq;mq;280.350000;mq;mq;7.000000;10.400000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;0.200000;14.100000;mq;mq;mq;mq;3;mq;270;3;mq;1200;5;mq;1440;mq;mq;mq;
07621;20160119150000;101650;-50;5;290;5.400000;282.350000;279.450000;82;40470;0;mq;mq;100;7;800;mq;mq;mq;97310;mq;mq;340;mq;mq;mq;mq;278.050000;mq;mq;8.000000;8.200000;-10;mq;0.000000;mq;mq;0.000000;0.400000;0.400000;1.200000;24.200000;mq;mq;mq;mq;2;mq;840;5;mq;1110;7;mq;1320;mq;mq;mq;
07627;20160119150000;101610;-60;5;300;4.300000;283.050000;278.250000;72;20000;0;mq;mq;90;5;800;mq;mq;mq;96690;mq;mq;260;mq;mq;mq;mq;277.650000;mq;mq;6.600000;8.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;1.600000;7.700000;mq;mq;mq;mq;2;mq;900;5;mq;1410;7;mq;2400;mq;mq;mq;
07630;20160119150000;101540;-50;5;260;6.100000;284.650000;279.350000;70;57400;0;mq;mq;100;7;800;mq;mq;mq;99740;mq;mq;280;mq;mq;mq;mq;276.850000;mq;mq;9.300000;11.200000;-10;0;0.000000;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;5;mq;810;6;mq;1020;7;mq;1200;mq;mq;mq;
