numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07591;20151109120000;mq;-220;6;200;1.900000;291.350000;274.750000;33;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;92830;mq;1622;-170;mq;mq;mq;mq;mq;mq;mq;3.600000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20151109120000;103380;20;0;0;0.000000;289.950000;288.650000;92;7000;0;mq;mq;100;mq;150;mq;mq;mq;102670;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.600000;-10;mq;0.000000;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20151109120000;103250;-20;8;20;2.000000;294.150000;287.050000;64;43480;0;mq;mq;mq;0;mq;mq;mq;mq;99020;mq;mq;750;mq;mq;mq;mq;283.550000;mq;mq;3.600000;4.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20151109120000;103230;-70;8;320;3.900000;294.150000;286.350000;61;20000;0;mq;mq;mq;0;mq;mq;mq;mq;98420;mq;mq;670;mq;mq;mq;mq;281.450000;mq;mq;6.100000;6.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20151109120000;103360;0;0;310;3.200000;288.750000;286.750000;88;11650;0;mq;mq;100;8;250;mq;mq;mq;101560;mq;mq;630;mq;mq;mq;mq;286.150000;mq;mq;5.100000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07643;20151109120000;103060;-100;8;210;3.400000;292.650000;287.250000;71;17360;3;0;0;25;0;mq;30;20;11;102960;mq;mq;-80;mq;mq;mq;mq;287.450000;mq;mq;4.500000;4.800000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20151109120000;102960;-170;8;260;3.100000;292.450000;286.850000;70;13860;0;0;0;mq;0;mq;mq;mq;mq;102580;mq;mq;-180;mq;mq;mq;mq;286.450000;mq;mq;4.300000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20151109120000;102840;-210;7;280;8.700000;291.850000;286.250000;70;30000;1;0;mq;0;0;mq;30;20;10;101250;mq;mq;-240;mq;mq;mq;mq;mq;mq;mq;11.800000;13.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20151109120000;102820;-130;7;110;1.000000;290.850000;285.350000;70;20000;2;0;0;25;2;800;35;20;10;102510;mq;mq;-260;mq;mq;mq;mq;282.850000;mq;mq;1.800000;1.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;660;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20151109120000;103060;-210;8;140;1.100000;296.450000;288.250000;60;47680;0;mq;mq;mq;0;mq;mq;mq;mq;102540;mq;mq;130;mq;mq;mq;mq;285.350000;mq;mq;1.800000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20151109120000;103080;-130;8;210;2.600000;292.550000;286.450000;68;59790;0;0;0;90;7;800;mq;mq;mq;102970;mq;mq;-10;mq;mq;mq;mq;284.050000;mq;mq;3.400000;4.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20151109120000;102920;-130;8;140;2.800000;292.550000;286.750000;69;60000;1;0;0;25;2;800;35;20;10;102780;mq;mq;-130;mq;mq;mq;mq;285.950000;mq;mq;4.300000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;6;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20151109120000;102170;-70;7;290;6.200000;286.550000;282.050000;74;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101820;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.300000;-10;mq;mq;mq;mq;mq;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20151109120000;100290;-230;6;90;1.000000;284.650000;281.850000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98560;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20151109120000;99750;10;0;260;15.400000;277.250000;270.650000;62;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99380;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;20.600000;-10;mq;mq;mq;mq;0.000000;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20151109120000;101800;250;3;290;11.800000;275.550000;267.850000;57;12000;2;1;1;75;6;800;38;20;10;101710;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;19.000000;21.600000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;2;8;690;6;6;1200;mq;mq;mq;mq;mq;mq;
78897;20151109120000;101720;220;3;90;3.100000;300.550000;297.850000;85;12000;0;mq;mq;mq;mq;1250;mq;mq;mq;mq;mq;mq;90;297.750000;mq;mq;304.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.000000;mq;9.900000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20151109120000;101640;mq;mq;130;8.700000;301.150000;297.150000;79;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;90;297.550000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.000000;mq;mq;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20151109120000;101650;260;3;120;4.100000;300.850000;296.850000;79;7800;mq;mq;mq;mq;mq;mq;mq;mq;mq;101560;mq;mq;100;mq;mq;mq;mq;mq;mq;mq;10.700000;10.700000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;1.400000;23.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20151109120000;101370;200;1;120;2.600000;301.950000;297.250000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101310;mq;mq;110;mq;mq;mq;mq;mq;mq;mq;4.900000;4.900000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20151109120000;101420;230;3;130;2.500000;302.150000;297.950000;78;60000;0;mq;mq;90;5;450;mq;mq;mq;101330;mq;mq;160;297.150000;mq;mq;mq;297.450000;mq;mq;4.200000;4.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;6.000000;6.000000;mq;mq;mq;mq;4;mq;450;5;mq;600;7;mq;5220;mq;mq;mq;
81415;20151109120000;101450;210;3;50;0.500000;301.550000;296.250000;73;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100250;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;1.300000;1.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20151109120000;97340;30;1;130;22.600000;265.250000;255.650000;42;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;96800;mq;mq;mq;265.050000;mq;266.850000;mq;mq;mq;mq;32.900000;38.100000;-60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
