1.834000;50.136000;101810
3.097500;50.570000;101980
-1.939833;49.725167;102390
-0.456167;49.180000;102050
1.181667;49.383000;101000
4.155333;49.209667;101630
-4.412000;48.444167;101690
-3.473167;48.825833;102060
-1.734000;48.068833;102540
0.110167;48.445500;101210
2.384333;48.716833;101830
4.020000;48.324667;101510
5.959833;48.581000;98780
7.640333;48.549500;101040
-3.218333;47.294333;102610
-1.608833;47.150000;102860
0.727333;47.444500;101770
2.359833;47.059167;101200
5.088333;47.267833;100400
7.510000;47.614333;99710
-1.411500;46.046833;103000
0.314333;46.593833;101780
1.175000;45.861167;98480
3.149333;45.786833;99260
3.764000;45.074500;93610
5.077833;45.726500;100330
-0.691333;44.830667;102780
1.396667;44.745000;100260
3.019500;44.118500;94880
4.733000;44.581167;102210
6.502333;44.565667;92830
-0.500167;43.909833;102670
0.000000;43.188000;99020
1.106833;43.005333;98420
1.378833;43.621000;101560
3.963167;43.577000;102960
5.216000;43.437667;102580
5.940833;43.079333;101250
7.209000;43.648833;102510
2.872833;42.737167;102540
